endpoint,reference_non_null,candidate_non_null,shared_non_null,reference_mean,candidate_mean,mean_delta,reference_median,candidate_median,median_delta,paired_mean_delta,paired_median_delta
MolWt,6,7,4,155.0633,161.2914,6.2281,152.155,165.19,13.035,0.0,0.0
LogP,6,7,4,1.6667,1.8429,0.1762,1.65,1.8,0.15,-0.1,-0.1
TPSA,6,7,4,35.9667,34.5857,-1.381,35.5,35.5,0.0,0.0,0.0
HeavyAtoms,6,7,4,11.0,11.2857,0.2857,11.0,11.0,0.0,0.0,0.0
CNS_MPO,6,7,4,4.4,4.5571,0.1571,4.4,4.5,0.1,0.3,0.3
QED,6,7,4,0.67,0.6814,0.0114,0.67,0.67,0.0,0.0225,0.02
Sol_Consensus_LogS,6,7,4,-3.0667,-3.3857,-0.319,-3.05,-3.4,-0.35,-0.225,-0.2
CYP_Total_Inhibition,6,7,4,0.8333,0.8571,0.0238,1.0,1.0,0.0,0.0,0.0
Bioavail_Score,6,7,4,3.0,3.4286,0.4286,3.0,3.0,0.0,0.75,1.0
MedChem_Alerts,6,7,4,0.1667,0.1429,-0.0238,0.0,0.0,0.0,0.0,0.0
Retro_Rerank_Rank,6,7,4,11.6667,10.0,-1.6667,11.0,10.0,-1.0,-4.0,-3.5
Retro_Stock_Coverage,6,7,4,0.7833,0.8043,0.021,0.75,0.8,0.05,0.1125,0.1
Retro_StepCount,6,7,4,3.5,3.5714,0.0714,3.5,4.0,0.5,-0.5,-0.5
Retro_NotInStockCount,6,7,4,0.5,0.5714,0.0714,0.5,1.0,0.5,-0.25,0.0
Measured_pIC50,6,7,4,6.0,6.4286,0.4286,6.0,6.2,0.2,0.375,0.35
Measured_Solubility_uM,6,6,3,26.1667,16.6667,-9.5,25.0,17.5,-7.5,-6.0,-6.0
Measured_Caco2_AtoB,1,2,1,11.0,9.5,-1.5,11.0,9.5,-1.5,-2.0,-2.0
Measured_Microsomal_t12_min,5,7,4,43.4,47.7143,4.3143,44.0,50.0,6.0,5.5,6.0
Measured_hERG_IC50_uM,5,7,4,16.4,15.1429,-1.2571,18.0,17.0,-1.0,-1.25,-1.0
Lead_LE,6,7,4,0.5467,0.575,0.0283,0.5575,0.583,0.0255,0.0343,0.032
Lead_LLE,6,7,4,4.3333,4.5857,0.2524,4.25,4.5,0.25,0.475,0.45
Lead_LELP,6,7,4,3.0822,3.2831,0.2009,2.935,3.259,0.324,-0.3795,-0.38
Lead_BEI,6,7,4,38.8405,40.0814,1.2409,40.162,42.11,1.948,2.415,2.2815
Lead_SEI,6,7,4,17.1828,18.794,1.6112,16.7605,18.277,1.5165,1.1702,0.966
